gene	p_values
ENSG00000006194.9	0.358315789473684
ENSG00000006210.6	0.816631578947368
ENSG00000006282.20	0.633368421052632
ENSG00000006327.13	0.807157894736842
ENSG00000006432.15	0.291157894736842
ENSG00000006451.7	0.826947368421053
ENSG00000006453.13	0.0104210526315789
ENSG00000006459.10	0.765263157894737
ENSG00000006468.13	0.814421052631579
ENSG00000006530.15	0.0403157894736842
ENSG00000006534.15	0.0658947368421053
ENSG00000006576.16	0.429894736842105
ENSG00000006607.13	0.659157894736842
ENSG00000006625.17	0.253894736842105
ENSG00000006634.7	0.822736842105263
ENSG00000006638.11	0.817789473684211
ENSG00000006652.13	0.214526315789474
ENSG00000006695.10	0.0117894736842105
ENSG00000006704.10	0.0628421052631579
ENSG00000006712.14	0.0182105263157895
ENSG00000006715.15	0.250210526315789
ENSG00000006740.16	0.00905263157894737
ENSG00000006744.18	0.0833684210526316
ENSG00000006756.15	0.0322105263157895
ENSG00000006757.11	0.0158947368421053
ENSG00000006831.9	0.408
ENSG00000006837.11	0.809684210526316
ENSG00000007047.14	0.00389473684210526
ENSG00000007062.11	0.154315789473684
ENSG00000007080.10	0.0301052631578947
ENSG00000007129.17	0.34
ENSG00000007168.12	0.362631578947368
ENSG00000007171.16	0.0763157894736842
ENSG00000007202.14	0.814631578947368
ENSG00000007237.18	0.803368421052632
ENSG00000007255.10	0.454842105263158
ENSG00000007264.14	0.172
ENSG00000007312.12	0.762842105263158
ENSG00000007314.12	0.809157894736842
ENSG00000007341.18	0.389684210526316
ENSG00000007350.16	0.813157894736842
ENSG00000007376.7	0.438210526315789
ENSG00000007384.15	0.816947368421053
ENSG00000007392.16	0.822736842105263
ENSG00000007402.11	0.0575789473684211
ENSG00000007516.13	0.289263157894737
ENSG00000007520.3	0.0707368421052632
ENSG00000007541.16	0.305263157894737
ENSG00000007545.15	0.819052631578947
ENSG00000007866.19	0.794631578947368
ENSG00000007908.15	0.0275789473684211
ENSG00000007923.15	0.820526315789474
ENSG00000007933.12	0.101578947368421
ENSG00000007944.14	0.115052631578947
ENSG00000008018.8	0.0190526315789474
ENSG00000008056.13	0.394631578947368
ENSG00000008083.13	0.809263157894737
ENSG00000008086.11	0.803684210526316
ENSG00000008118.9	0.0144210526315789
ENSG00000008128.22	0.366315789473684
ENSG00000008130.15	0.282526315789474
ENSG00000008226.19	0.816
ENSG00000008256.15	0.803578947368421
ENSG00000008277.14	0.0791578947368421
ENSG00000008282.8	0.815368421052632
ENSG00000008283.15	0.531578947368421
ENSG00000008294.20	0.816421052631579
ENSG00000008300.16	0.813052631578947
ENSG00000008311.14	0.816
ENSG00000008323.15	0.814526315789474
ENSG00000008324.11	0.821684210526316
ENSG00000008382.15	0.0542105263157895
ENSG00000008394.12	0.00926315789473684
ENSG00000008405.11	0.0474736842105263
ENSG00000008438.4	0.817789473684211
ENSG00000008441.16	0.809789473684211
ENSG00000008513.14	0.0887368421052632
ENSG00000008516.16	0.306526315789474
ENSG00000008517.16	0.0346315789473684
ENSG00000008710.19	0.647789473684211
ENSG00000008735.13	0.824842105263158
ENSG00000008838.19	0.0274736842105263
ENSG00000008853.16	0.802842105263158
ENSG00000008869.11	0.813157894736842
ENSG00000008952.16	0.811157894736842
ENSG00000008988.9	0.197684210526316
ENSG00000009307.15	0.0531578947368421
ENSG00000009335.17	0.603789473684211
ENSG00000009413.15	0.791263157894737
ENSG00000009694.13	0.816526315789474
ENSG00000009724.16	0.00842105263157895
ENSG00000009780.15	0.818421052631579
ENSG00000009790.14	0.803368421052632
ENSG00000009830.11	0.259789473684211
ENSG00000009844.15	0.814631578947368
ENSG00000009950.15	0.809894736842105
